date,product,category,region,customer,quantity,revenue,cost
2024-01-01,Product A,Electronics,West,Customer_24,6,24582.56,15260.97
2024-01-01,Product E,Accessories,North,Customer_05,5,6607.03,4286.36
2024-01-01,Product A,Electronics,North,Customer_49,7,28576.27,18729.64
2024-01-01,Product B,Electronics,West,Customer_39,4,10567.31,7732.98
2024-01-01,Product C,Accessories,North,Customer_29,7,6929.49,3690.33
2024-01-01,Product B,Electronics,East,Customer_23,5,14615.11,9526.98
2024-01-02,Product D,Services,West,Customer_23,1,8055.53,7573.44
2024-01-02,Product D,Services,West,Customer_50,1,8942.96,7359.14
2024-01-02,Product A,Electronics,South,Customer_44,4,17109.8,10726.32
2024-01-03,Product B,Electronics,North,Customer_40,3,8144.59,5703.76
2024-01-03,Product E,Accessories,South,Customer_46,6,8629.01,5029.05
2024-01-03,Product B,Electronics,West,Customer_29,4,11121.48,7692.17
2024-01-03,Product A,Electronics,South,Customer_22,8,32957.6,20226.99
2024-01-03,Product C,Accessories,West,Customer_11,6,5404.19,3074.03
2024-01-03,Product C,Accessories,West,Customer_24,6,5709.77,3132.86
2024-01-04,Product B,Electronics,South,Customer_16,2,5415.04,3834.04
2024-01-04,Product E,Accessories,West,Customer_11,7,10297.85,5910.41
2024-01-04,Product C,Accessories,South,Customer_06,7,6290.79,3605.27
2024-01-04,Product A,Electronics,North,Customer_42,5,21022.55,13095.3
2024-01-04,Product A,Electronics,West,Customer_38,8,31922.53,21161.19
2024-01-04,Product A,Electronics,South,Customer_32,6,26902.63,15446.96
2024-01-05,Product D,Services,North,Customer_50,1,7924.89,7425.05
2024-01-05,Product C,Accessories,South,Customer_01,7,6588.91,3587.0
2024-01-05,Product A,Electronics,North,Customer_19,8,35031.31,20599.58
2024-01-05,Product C,Accessories,South,Customer_41,6,5389.72,3193.12
2024-01-05,Product A,Electronics,South,Customer_18,6,23913.61,15604.37
2024-01-06,Product A,Electronics,North,Customer_30,9,38189.41,24134.66
2024-01-06,Product E,Accessories,North,Customer_05,7,10244.29,5811.39
2024-01-06,Product E,Accessories,North,Customer_19,4,5691.44,3287.41
2024-01-06,Product E,Accessories,East,Customer_02,6,8456.03,4959.03
2024-01-06,Product A,Electronics,East,Customer_08,7,30392.68,17962.49
2024-01-06,Product C,Accessories,South,Customer_32,7,7075.97,3642.39
2024-01-06,Product C,Accessories,West,Customer_39,10,9074.26,5345.01
2024-01-06,Product C,Accessories,South,Customer_27,10,9455.91,5179.83
2024-01-06,Product E,Accessories,North,Customer_09,3,4104.55,2587.94
2024-01-07,Product D,Services,North,Customer_50,3,24916.58,22824.27
2024-01-07,Product A,Electronics,North,Customer_25,7,29943.05,18441.84
2024-01-07,Product C,Accessories,North,Customer_39,7,6575.61,3561.9
2024-01-07,Product E,Accessories,North,Customer_28,7,9733.82,5843.28
2024-01-08,Product C,Accessories,East,Customer_10,7,6521.35,3716.91
2024-01-08,Product D,Services,North,Customer_34,3,24812.93,22995.41
2024-01-08,Product B,Electronics,West,Customer_20,7,18699.1,12935.18
2024-01-09,Product C,Accessories,South,Customer_37,7,6412.88,3757.87
2024-01-09,Product E,Accessories,West,Customer_40,5,6791.76,4314.02
2024-01-09,Product E,Accessories,West,Customer_38,5,7243.06,4191.71
2024-01-09,Product C,Accessories,East,Customer_34,4,3764.52,2117.62
2024-01-09,Product C,Accessories,North,Customer_04,5,4448.64,2616.44
2024-01-09,Product C,Accessories,South,Customer_21,7,6343.83,3758.73
2024-01-09,Product E,Accessories,North,Customer_10,4,5208.03,3387.86
2024-01-10,Product E,Accessories,East,Customer_02,2,2925.5,1729.3
2024-01-10,Product C,Accessories,East,Customer_23,8,7108.85,4093.41
2024-01-10,Product A,Electronics,South,Customer_12,9,37443.89,22785.83
2024-01-10,Product C,Accessories,West,Customer_20,9,8566.73,4666.55
2024-01-10,Product B,Electronics,South,Customer_43,6,17923.73,11343.05
2024-01-10,Product E,Accessories,South,Customer_18,3,4417.01,2482.17
2024-01-10,Product E,Accessories,North,Customer_38,4,5287.15,3448.91
2024-01-11,Product B,Electronics,South,Customer_08,3,8253.02,5678.32
2024-01-11,Product B,Electronics,North,Customer_01,8,22417.64,15557.63
2024-01-11,Product C,Accessories,South,Customer_40,12,11140.78,6191.42
2024-01-11,Product A,Electronics,East,Customer_13,8,34027.68,20455.1
2024-01-12,Product A,Electronics,West,Customer_30,8,32040.08,20833.56
2024-01-12,Product D,Services,North,Customer_36,2,17905.35,14689.05
2024-01-12,Product D,Services,North,Customer_30,1,8861.11,7566.76
2024-01-12,Product C,Accessories,South,Customer_01,6,5612.54,3160.51
2024-01-12,Product E,Accessories,North,Customer_43,4,5985.09,3284.68
2024-01-13,Product E,Accessories,North,Customer_28,4,5784.96,3348.61
2024-01-13,Product C,Accessories,South,Customer_41,7,6915.43,3641.57
2024-01-14,Product C,Accessories,East,Customer_28,10,9314.55,5185.02
2024-01-14,Product A,Electronics,West,Customer_38,6,23843.22,16072.58
2024-01-14,Product D,Services,North,Customer_14,2,16452.9,15120.54
2024-01-14,Product D,Services,North,Customer_45,1,8761.3,7421.01
2024-01-14,Product C,Accessories,East,Customer_22,8,7690.62,4110.38
2024-01-14,Product C,Accessories,North,Customer_31,7,6476.69,3597.76
2024-01-14,Product E,Accessories,East,Customer_16,2,2991.36,1654.64
2024-01-15,Product E,Accessories,South,Customer_09,3,4486.74,2523.88
2024-01-15,Product B,Electronics,South,Customer_28,7,19184.88,13034.94
2024-01-16,Product B,Electronics,North,Customer_51,3,8523.95,5842.39
2024-01-16,Product E,Accessories,South,Customer_02,6,8183.1,5089.98
2024-01-16,Product B,Electronics,East,Customer_01,3,8855.39,5819.24
2024-01-16,Product C,Accessories,South,Customer_11,9,8153.64,4726.87
2024-01-17,Product A,Electronics,South,Customer_26,8,33624.6,21268.23
2024-01-17,Product A,Electronics,North,Customer_38,9,39997.73,23545.31
2024-01-17,Product A,Electronics,East,Customer_24,9,38851.33,23470.83
2024-01-17,Product C,Accessories,South,Customer_03,8,7235.78,4177.34
